,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
326,simfix_2,simfix_1,bears,traccar-traccar_308288525-308872339,1185.8319999999997,9.967,0,785.9380000000001,367.6239999999999,696,2397,0,NO,NO,,NO,NO,NO
327,simfix_2,simfix_2,bears,traccar-traccar_308288525-308872339,1163.9739999999997,9.967,0,785.9380000000001,345.7659999999998,696,318,0,NO,NO,,NO,NO,NO
328,simfix_2,simfix_3,bears,traccar-traccar_308288525-308872339,1878.9859999999999,9.967,0,785.9380000000001,1060.778,696,90630,0,NO,NO,,NO,NO,NO
329,tbar_2,tbar_1,bears,traccar-traccar_308288525-308872339,343.442,9.945,0,210.574,130.319,191,122,yes,NO,NO,,NO,NO,NO
330,tbar_2,tbar_2,bears,traccar-traccar_308288525-308872339,344.757,9.945,0,210.574,131.63399999999996,191,406,yes,NO,NO,,NO,NO,NO
331,tbar_2,tbar_3,bears,traccar-traccar_308288525-308872339,603.0360000000001,9.945,0,210.574,389.91299999999995,191,34770,yes,NO,NO,,NO,NO,NO
332,dynamoth_1,dynamoth_1,bears,traccar-traccar_308288525-308872339,6.631,9.467,5.7620000000000005,0.108,0.869,1,1,yes,NO,NO,,NO,-,NO
333,dynamoth_2,dynamoth_2,bears,traccar-traccar_308288525-308872339,15.133000000000003,9.467,10.907000000000004,0.187,4.226,1,285,yes,NO,NO,,NO,-,NO
334,dynamoth_3,dynamoth_3,bears,traccar-traccar_308288525-308872339,7.102,9.467,5.673,0.152,1.4289999999999998,1,285,yes,NO,NO,,NO,-,NO
335,nopol_2,nopol_2,bears,traccar-traccar_309459456-309718203,3.371,8.411,3.371,0,0,0,0,0,YES,NO,,NO,-,NO
336,simfix_2,simfix_1,bears,traccar-traccar_309459456-309718203,7205.693999999985,8.887,0,5177.230999999993,1972.1349999999993,6106,11085,0,NO,NO,,NO,NO,NO
337,simfix_2,simfix_2,bears,traccar-traccar_309459456-309718203,7205.755999999983,8.887,0,5192.320999999994,1957.1069999999982,6128,2161,0,NO,NO,,NO,NO,NO
338,simfix_2,simfix_3,bears,traccar-traccar_309459456-309718203,7205.5829999999905,8.887,0,4057.9759999999983,3091.2790000000005,4790,386175,0,NO,NO,,NO,NO,NO
339,tbar_2,tbar_1,bears,traccar-traccar_309459456-309718203,564.8479999999996,8.725,0,206.90500000000003,355.1879999999996,298,193,yes,NO,NO,,NO,NO,NO
340,tbar_2,tbar_2,bears,traccar-traccar_309459456-309718203,566.8679999999998,8.725,0,206.90500000000003,357.2079999999998,298,477,yes,NO,NO,,NO,NO,NO
341,tbar_2,tbar_3,bears,traccar-traccar_309459456-309718203,762.1279999999997,8.725,0,206.90500000000003,552.4679999999997,298,55005,yes,NO,NO,,NO,NO,NO
342,dynamoth_2,dynamoth_2,bears,traccar-traccar_309459456-309718203,4.148,8.411,4.148,0,0,0,0,0,YES,NO,,NO,-,NO
343,nopol_2,nopol_2,bears,traccar-traccar_313257147-313260584,9.108,5.678,9.108,0,0,0,0,0,YES,NO,,NO,-,NO
344,simfix_2,simfix_1,bears,traccar-traccar_313257147-313260584,2537.6250000000005,6.403,0,1779.3340000000005,716.7140000000003,1687,2124,0,NO,NO,,NO,NO,NO
345,simfix_2,simfix_2,bears,traccar-traccar_313257147-313260584,2521.2450000000003,6.403,0,1779.3340000000005,700.334,1687,682,0,NO,NO,,NO,NO,NO
346,simfix_2,simfix_3,bears,traccar-traccar_313257147-313260584,3981.635,6.403,0,1779.3340000000005,2160.7239999999997,1687,202554,0,NO,NO,,NO,NO,NO
347,tbar_2,tbar_1,bears,traccar-traccar_313257147-313260584,299.804,6.143,0,204.89300000000011,92.33399999999997,182,87,yes,NO,NO,,NO,NO,NO
348,tbar_2,tbar_2,bears,traccar-traccar_313257147-313260584,305.0010000000001,6.143,0,204.89300000000011,97.53100000000002,182,383,yes,NO,NO,,NO,NO,NO
349,tbar_2,tbar_3,bears,traccar-traccar_313257147-313260584,500.1379999999999,6.143,0,204.89300000000011,292.66799999999984,182,25839,yes,NO,NO,,NO,NO,NO
350,dynamoth_2,dynamoth_2,bears,traccar-traccar_313257147-313260584,25.55,5.678,25.55,0,0,0,0,0,NO,NO,,NO,-,NO
351,nopol_2,nopol_2,bears,traccar-traccar_316227226-316639485,49.574,9.905,49.574,0,0,0,0,0,YES,NO,,NO,-,NO
352,simfix_2,simfix_1,bears,traccar-traccar_316227226-316639485,7215.568999999992,10.578,0,6965.879999999992,222.77299999999997,4251,222,0,NO,NO,,NO,NO,NO
353,simfix_2,simfix_2,bears,traccar-traccar_316227226-316639485,7216.866000000001,10.578,0,6728.072,461.8780000000002,4063,463,0,NO,NO,,NO,NO,NO
354,simfix_2,simfix_3,bears,traccar-traccar_316227226-316639485,7215.582999999994,10.578,0,5804.331999999994,1384.3349999999996,3578,138437,0,NO,NO,,NO,NO,NO
355,tbar_2,tbar_1,bears,traccar-traccar_316227226-316639485,7200.250000000015,10.365,0,4009.7850000000058,3174.9819999999977,3850,3766,0,NO,NO,,NO,NO,NO
356,tbar_2,tbar_2,bears,traccar-traccar_316227226-316639485,7201.565000000008,10.365,0,4010.5860000000057,3175.495999999991,3851,3766,0,NO,NO,,NO,NO,NO
357,tbar_2,tbar_3,bears,traccar-traccar_316227226-316639485,7209.886000000022,10.365,0,2427.0079999999994,4767.395000000011,1974,566904,0,NO,NO,,NO,NO,NO
358,dynamoth_2,dynamoth_2,bears,traccar-traccar_316227226-316639485,46.367,9.905,46.367,0,0,0,0,0,YES,NO,,NO,-,NO
359,nopol_2,nopol_2,bears,traccar-traccar_322427143-322428590,48.364999999999995,5.036,48.364999999999995,0,0,0,0,0,YES,NO,,NO,-,NO
360,simfix_2,simfix_1,bears,traccar-traccar_322427143-322428590,7192.686999999998,5.486999999999999,0,4404.194999999999,2740.783999999999,5894,10700,0,NO,NO,,NO,NO,NO
361,simfix_2,simfix_2,bears,traccar-traccar_322427143-322428590,7194.172999999995,5.486999999999999,0,4405.768999999998,2740.6959999999963,5896,3569,0,NO,NO,,NO,NO,NO
362,simfix_2,simfix_3,bears,traccar-traccar_322427143-322428590,7215.440000000002,5.486999999999999,0,3341.8759999999975,3825.8560000000048,4624,743400,0,NO,NO,,NO,NO,NO
363,tbar_2,tbar_1,bears,traccar-traccar_322427143-322428590,4397.781,5.308,0,2595.164000000001,1789.204,2918,2136,yes,NO,NO,,NO,NO,NO
364,tbar_2,tbar_2,bears,traccar-traccar_322427143-322428590,4400.976999999997,5.308,0,2595.164000000001,1792.3999999999976,2918,2435,yes,NO,NO,,NO,NO,NO
365,tbar_2,tbar_3,bears,traccar-traccar_322427143-322428590,6938.940000000002,5.308,0,2595.164000000001,4330.363000000003,2918,640800,yes,NO,NO,,NO,NO,NO
366,dynamoth_1,dynamoth_1,bears,traccar-traccar_322427143-322428590,26.569999999999997,5.036,25.641999999999996,0.143,0.928,1,1,yes,NO,NO,,NO,-,NO
367,dynamoth_2,dynamoth_2,bears,traccar-traccar_322427143-322428590,80.773,5.036,71.728,0.513,9.045,1,300,yes,NO,NO,,NO,-,NO
